collected_at,site,group,group_label,leg,origin,destination,flight_date,price_brl,url,status,note
2026-09-19T14:18:00,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,852.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-20T14:38:43,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1533.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-20T14:38:49,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,495.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-20T14:38:52,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1293.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-21T16:56:50,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1514.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-21T16:56:57,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,1053.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-21T16:57:00,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1278.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-22T15:28:56,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1518.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-22T15:29:02,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,711.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-22T15:29:05,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1281.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-23T15:23:42,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1524.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-23T15:23:49,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,809.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-23T15:23:52,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,758.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-24T15:46:56,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1538.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-24T15:47:02,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,744.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-24T15:47:05,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1298.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-25T15:47:07,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1539.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-25T15:47:13,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,742.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-25T15:47:15,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1295.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
2026-09-26T14:57:07,google_flights,rio_volta,Volta ao Rio (Buenos Aires → GIG/SDU),volta,AEP,GIG,2026-11-28,1534.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+Rio+de+Janeiro+Galeao+Airport+%28GIG%29+2026-11-28+one+way+nonstop,ok,
2026-09-26T14:57:14,google_flights,elcalafate_ida,Ida El Calafate (Buenos Aires → El Calafate),ida,AEP,FTE,2026-11-25,635.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+to+El+Calafate+2026-11-25+one+way+nonstop,ok,
2026-09-26T14:57:17,google_flights,elcalafate_volta,Volta El Calafate (El Calafate → Buenos Aires),volta,FTE,AEP,2026-11-28,1287.0,https://www.google.com/travel/flights?hl=pt-BR&gl=BR&curr=BRL&q=flights+from+El+Calafate+to+Buenos+Aires+Aeroparque+Jorge+Newbery+%28AEP%29+2026-11-28+one+way+nonstop,ok,
